,Placement,Team,Score,TitleEligibile,Year,Event,Date,Division
0,1+,Jonathon Offi & Athena,56.7,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
1,2+,Jonathon Offi & Matrix,56.6,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
2,3*,Dean Shavit & Summer Lightning,56.2,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
3,4,Troy Mool & Fuze,54.9,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
4,5,Troy Mool & Jazmin,53.9,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
5,6,Chris Knapp & Macho,47.6,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
6,7,Troy Mool & Paizley,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
7,7,Mark Reinhold & Salty,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
8,7,Mark Reinhold & Happy,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
9,7,Adrian Custer & Super Hornet,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
10,7,Chris Knapp & Marino,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
11,7,Adrian Custer & Valkerie,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
12,7,Mark Reinhold & Shiner,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
13,7,Chris Knapp & Jack,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
14,7,Dennis Hunt & G2,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
15,7,Chris Knapp & Shaka,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
16,7,Dean Shavit & Billy Jean,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Men's)
0,1*,Marla Conley & Dorothy,51.7,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
1,2,Barb Reinhold & Rue,51.5,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
2,3,Barb Reinhold & Dibs,50.7,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
3,4,Barb Reinhold & Happy,50.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
4,5,Barb Reinhold & Whip,46.7,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
5,6,Jessica Wilmes & Senka,45.7,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
6,7,Nikki Penta & Fury,42.8,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
7,8,Jessica Hunt & Cannon,41.9,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
8,9,Darby Maloney & JD,38.2,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
9,10,Jessica Wilmes & Indy,36.5,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
10,11,Taylor Justice & Merlin,35.8,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
11,12,Taylor Justice & Kiwi,32.4,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
12,13,Nikki Penta & Phobia,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
13,13,Barb Reinhold & Salty,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
14,13,Barb Reinhold & Shiner,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Classic Plastic (Women's)
0,1+,Chris Knapp & Jack,187.8,XQ-MLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
1,2+,Jonathon Offi & Matrix,171.3,XQ-MLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
2,3*,Troy Mool & Fuze,170.1,XQ-MLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
3,4,Chris Knapp & Shaka,167.4,XQ-MLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
4,5,Chris Knapp & Macho,162.9,XQ-MLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
5,6,Troy Mool & Paizley,141.3,XQ-MLP Basic,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
6,7,Dennis Hunt & G2,131.7,XQ-MLP Basic,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
7,8,Mark Reinhold & Salty,127.8,XQ-MLP Basic,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
8,9,Jonathon Offi & Athena,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
9,9,Mark Reinhold & Shiner,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
10,9,Chris Knapp & Marino,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
11,9,Adrian Custer & Super Hornet,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
12,9,Dean Shavit & Billy Jean,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
13,9,Adrian Custer & Valkerie,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
14,9,Paul Agnew & Ra'z,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
15,9,Mark Reinhold & Happy,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
16,9,Troy Mool & Jazmin,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
17,9,Dean Shavit & Summer Lightning,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Men's)
0,1+,Barb Reinhold & Rue,163.5,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
1,2*,Barb Reinhold & Dibs,159.6,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
2,3,Barb Reinhold & Happy,149.4,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
3,4,Barb Reinhold & Shiner,148.5,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
4,5,Barb Reinhold & Salty,145.8,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
5,6,Jessica Wilmes & Senka,140.1,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
6,7,Nikki Penta & Fury,124.8,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
7,8,Jessica Wilmes & Indy,120.3,XQ-WLP Expert,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
8,9,Nikki Penta & Phobia,114.3,XQ-WLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
9,10,Taylor Justice & Merlin,99.6,XQ-WLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
10,11,Taylor Justice & Kiwi,96.6,XQ-WLP Advanced,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
11,12,Barb Reinhold & Whips,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
12,12,Marla Conley & Dorothy,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
13,12,Jessica Hunt & Cannon,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Light Plastic (Women's)
0,1*,Mike Samuels & Murphy,184.8,XQ-MM Elite,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Men's)
1,2,Blake Mattan & Swift,142.2,XQ-MM Elite,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Men's)
0,1*,Barb Reinhold & Rue,131.1,XQ-WM Elite,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
1,2,Barb Reinhold & Whip,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
2,+,Jonathon Athena & Athena,71.5,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
3,*,Paul Agnew & Ra'z,70.3,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
4,,Jonathon Offi & Matrix,64.4,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
5,,Adrian Custer & Super Hornet,62.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
6,,Dean Shavit & Summer,55.3,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
7,,Mark Reinhold & Happy,51.5,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
8,,Chris Knapp & Jack,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
